

# Relatório de Simulação.
# GRU - Gás de Rede Unidimensional
# Parâmetros da simulação:
# ./gru -r -l 100 -N 72 -t 10000 -s 10 -T 0.4 -a teste.dat 

0 -58.000000 1.722222 
10 -60.000000 3.958333 
20 -63.000000 4.208333 
30 -63.000000 5.361111 
40 -65.000000 6.069444 
50 -61.000000 7.055556 
60 -62.000000 8.222222 
70 -63.000000 9.444444 
80 -62.000000 9.666667 
90 -58.000000 10.597222 
100 -62.000000 13.333333 
110 -63.000000 13.347222 
120 -59.000000 13.625000 
130 -62.000000 15.611111 
140 -61.000000 15.805556 
150 -59.000000 19.888889 
160 -59.000000 18.305556 
170 -59.000000 18.208333 
180 -58.000000 17.666667 
190 -61.000000 17.472222 
200 -61.000000 17.236111 
210 -63.000000 19.444444 
220 -63.000000 21.111111 
230 -61.000000 20.958333 
240 -65.000000 23.027778 
250 -63.000000 22.166667 
260 -63.000000 23.069444 
270 -63.000000 23.750000 
280 -65.000000 26.611111 
290 -62.000000 26.597222 
300 -61.000000 28.083333 
310 -59.000000 27.500000 
320 -62.000000 28.875000 
330 -62.000000 28.652778 
340 -64.000000 27.625000 
350 -64.000000 27.333333 
360 -64.000000 28.236111 
370 -62.000000 28.250000 
380 -64.000000 30.333333 
390 -63.000000 30.361111 
400 -66.000000 30.402778 
410 -64.000000 30.013889 
420 -65.000000 30.444444 
430 -63.000000 30.541667 
440 -65.000000 30.291667 
450 -63.000000 31.138889 
460 -65.000000 36.555556 
470 -67.000000 37.375000 
480 -65.000000 35.055556 
490 -64.000000 34.736111 
500 -64.000000 34.138889 
510 -63.000000 34.652778 
520 -62.000000 33.388889 
530 -60.000000 37.250000 
540 -63.000000 36.375000 
550 -62.000000 35.055556 
560 -60.000000 37.236111 
570 -60.000000 41.000000 
580 -63.000000 36.875000 
590 -63.000000 38.208333 
600 -63.000000 39.555556 
610 -64.000000 39.527778 
620 -61.000000 38.458333 
630 -61.000000 39.722222 
640 -61.000000 43.277778 
650 -63.000000 47.847222 
660 -63.000000 49.736111 
670 -62.000000 51.013889 
680 -63.000000 54.750000 
690 -63.000000 56.763889 
700 -62.000000 58.500000 
710 -62.000000 56.833333 
720 -63.000000 60.000000 
730 -65.000000 59.833333 
740 -63.000000 63.444444 
750 -63.000000 64.125000 
760 -61.000000 64.291667 
770 -63.000000 70.666667 
780 -63.000000 69.777778 
790 -61.000000 73.083333 
800 -62.000000 73.722222 
810 -64.000000 74.097222 
