# GRU - Simulação de Monte Carlo para o Gas de Rede Unidimensional. LCC/PPG-CIMA/FUP/UnB.
# Versão: 2015.09.30

# Parâmetros da simulação:
# ./gru -r -L 100 -N 72 -t 10000 -s 10 -T 0.4 -a dados/teste-novo-new.dat 

0 -56.000000 0.013889 
10 -58.000000 1.944444 
20 -62.000000 4.194444 
30 -62.000000 6.472222 
40 -63.000000 5.472222 
50 -60.000000 5.888889 
60 -60.000000 6.319444 
70 -62.000000 7.083333 
80 -59.000000 9.458333 
90 -62.000000 11.597222 
100 -64.000000 11.680556 
110 -61.000000 11.583333 
120 -63.000000 11.583333 
130 -64.000000 11.166667 
140 -61.000000 11.833333 
150 -62.000000 15.194444 
160 -60.000000 15.986111 
170 -61.000000 17.319444 
180 -61.000000 18.583333 
190 -61.000000 18.527778 
200 -62.000000 19.791667 
210 -62.000000 21.652778 
220 -59.000000 21.319444 
230 -59.000000 23.486111 
240 -58.000000 22.875000 
250 -62.000000 22.277778 
260 -63.000000 21.708333 
270 -61.000000 22.319444 
280 -61.000000 24.333333 
290 -59.000000 25.597222 
300 -60.000000 28.291667 
310 -62.000000 26.722222 
320 -64.000000 30.305556 
330 -64.000000 32.138889 
340 -65.000000 32.638889 
350 -64.000000 33.111111 
360 -62.000000 34.500000 
370 -65.000000 35.236111 
380 -63.000000 34.972222 
390 -62.000000 34.375000 
400 -62.000000 32.638889 
410 -63.000000 30.722222 
420 -60.000000 35.097222 
430 -65.000000 39.819444 
440 -65.000000 39.847222 
450 -66.000000 39.708333 
460 -65.000000 39.555556 
470 -64.000000 37.666667 
480 -63.000000 37.388889 
490 -63.000000 42.402778 
500 -63.000000 41.625000 
510 -63.000000 39.388889 
520 -65.000000 40.402778 
530 -64.000000 41.277778 
540 -64.000000 40.583333 
550 -63.000000 41.500000 
560 -65.000000 42.666667 
570 -61.000000 43.805556 
580 -58.000000 42.888889 
590 -62.000000 45.930556 
600 -62.000000 46.291667 
610 -63.000000 47.638889 
620 -61.000000 47.777778 
630 -60.000000 46.763889 
640 -61.000000 47.416667 
650 -62.000000 46.430556 
660 -63.000000 48.916667 
670 -61.000000 48.444444 
680 -60.000000 49.458333 
690 -62.000000 56.250000 
700 -64.000000 58.194444 
710 -61.000000 56.027778 
720 -64.000000 59.305556 
730 -61.000000 56.777778 
740 -61.000000 54.027778 
750 -62.000000 53.666667 
760 -63.000000 49.680556 
770 -60.000000 52.458333 
780 -62.000000 53.000000 
790 -63.000000 54.375000 
800 -64.000000 54.819444 
810 -61.000000 54.472222 
820 -64.000000 57.458333 
830 -64.000000 54.361111 
840 -64.000000 50.180556 
850 -61.000000 52.583333 
860 -65.000000 50.180556 
870 -61.000000 52.347222 
880 -63.000000 52.361111 
890 -60.000000 51.750000 
900 -64.000000 50.069444 
910 -61.000000 55.527778 
920 -62.000000 56.138889 
930 -62.000000 55.486111 
940 -63.000000 56.555556 
950 -62.000000 56.013889 
960 -63.000000 55.375000 
970 -63.000000 52.916667 
980 -61.000000 54.819444 
990 -65.000000 57.069444 
1000 -62.000000 58.152778 
1010 -64.000000 60.777778 
1020 -62.000000 60.263889 
1030 -64.000000 59.680556 
1040 -63.000000 59.958333 
1050 -64.000000 58.944444 
1060 -64.000000 58.888889 
1070 -65.000000 62.375000 
1080 -62.000000 64.888889 
1090 -64.000000 65.777778 
1100 -62.000000 67.500000 
1110 -62.000000 64.652778 
1120 -61.000000 63.972222 
1130 -61.000000 64.305556 
1140 -61.000000 62.555556 
1150 -61.000000 63.986111 
1160 -63.000000 62.208333 
1170 -63.000000 63.986111 
1180 -61.000000 63.694444 
1190 -63.000000 61.291667 
1200 -62.000000 63.555556 
1210 -61.000000 64.666667 
1220 -64.000000 62.430556 
1230 -63.000000 69.125000 
1240 -64.000000 70.416667 
1250 -63.000000 72.180556 
1260 -61.000000 72.486111 
1270 -62.000000 70.083333 
1280 -63.000000 70.458333 
1290 -64.000000 70.972222 
1300 -64.000000 74.222222 
1310 -63.000000 75.986111 
1320 -62.000000 74.263889 
1330 -61.000000 72.513889 
1340 -64.000000 75.791667 
1350 -63.000000 73.180556 
1360 -61.000000 76.069444 
1370 -59.000000 77.111111 
1380 -60.000000 74.819444 
1390 -59.000000 74.958333 
1400 -63.000000 72.083333 
1410 -63.000000 74.000000 
1420 -64.000000 75.305556 
1430 -62.000000 77.305556 
1440 -61.000000 78.583333 
1450 -63.000000 82.791667 
1460 -63.000000 84.958333 
1470 -65.000000 84.555556 
1480 -62.000000 81.597222 
1490 -62.000000 82.583333 
1500 -61.000000 79.819444 
1510 -64.000000 81.638889 
1520 -64.000000 78.652778 
1530 -66.000000 80.347222 
1540 -63.000000 81.250000 
1550 -62.000000 83.777778 
1560 -59.000000 83.986111 
1570 -64.000000 85.638889 
1580 -60.000000 85.791667 
1590 -63.000000 87.416667 
1600 -61.000000 84.222222 
1610 -64.000000 87.472222 
1620 -61.000000 94.527778 
1630 -63.000000 89.763889 
1640 -61.000000 86.777778 
1650 -63.000000 86.875000 
1660 -63.000000 87.944444 
1670 -64.000000 93.791667 
1680 -62.000000 92.263889 
1690 -60.000000 89.041667 
1700 -62.000000 90.680556 
1710 -63.000000 89.680556 
1720 -62.000000 93.361111 
1730 -66.000000 93.472222 
1740 -64.000000 91.458333 
1750 -64.000000 87.791667 
1760 -61.000000 90.027778 
1770 -65.000000 94.541667 
1780 -63.000000 92.305556 
1790 -62.000000 91.027778 
1800 -64.000000 92.638889 
1810 -61.000000 89.680556 
1820 -65.000000 93.125000 
1830 -65.000000 92.652778 
1840 -63.000000 95.444444 
1850 -63.000000 96.875000 
1860 -63.000000 98.361111 
1870 -62.000000 100.666667 
1880 -63.000000 104.875000 
1890 -63.000000 103.916667 
1900 -61.000000 105.805556 
1910 -61.000000 108.375000 
1920 -62.000000 109.319444 
1930 -62.000000 110.638889 
1940 -63.000000 112.777778 
1950 -62.000000 114.569444 
1960 -63.000000 118.680556 
1970 -62.000000 118.069444 
1980 -61.000000 115.861111 
1990 -61.000000 116.805556 
2000 -61.000000 116.902778 
2010 -61.000000 118.638889 
2020 -64.000000 120.750000 
