# GRU - Simulação de Monte Carlo para o Gas de Rede Unidimensional. LCC/PPG-CIMA/FUP/UnB.
# Versão: 2015.09.30

# Parâmetros da simulação:
# ./gru -r -L 100 -N 72 -t 10000 -s 10 -T 0.4 -a dados/teste-novo.dat 

0 -55.000000 0.055556 
10 -61.000000 2.888889 
20 -62.000000 3.875000 
30 -61.000000 5.180556 
40 -62.000000 6.027778 
50 -61.000000 6.652778 
60 -63.000000 6.555556 
70 -62.000000 7.027778 
80 -63.000000 7.986111 
90 -63.000000 7.930556 
100 -61.000000 8.944444 
110 -60.000000 10.055556 
120 -63.000000 11.986111 
130 -63.000000 13.777778 
140 -61.000000 13.125000 
150 -62.000000 13.680556 
160 -62.000000 14.291667 
170 -63.000000 15.180556 
180 -63.000000 15.541667 
190 -62.000000 15.388889 
200 -62.000000 15.944444 
210 -62.000000 15.694444 
220 -63.000000 18.236111 
230 -59.000000 18.208333 
240 -62.000000 19.638889 
250 -61.000000 20.722222 
260 -62.000000 23.847222 
270 -60.000000 26.250000 
280 -59.000000 26.500000 
290 -61.000000 26.388889 
300 -59.000000 28.055556 
310 -58.000000 31.277778 
320 -59.000000 29.347222 
330 -62.000000 30.472222 
340 -62.000000 32.347222 
350 -63.000000 33.416667 
360 -63.000000 35.638889 
370 -62.000000 36.305556 
380 -59.000000 38.430556 
390 -63.000000 41.069444 
400 -65.000000 41.305556 
410 -62.000000 40.430556 
420 -63.000000 41.347222 
430 -63.000000 40.430556 
440 -59.000000 41.305556 
450 -60.000000 39.333333 
460 -61.000000 40.361111 
470 -61.000000 40.305556 
480 -61.000000 42.013889 
490 -61.000000 47.041667 
500 -60.000000 48.347222 
510 -62.000000 49.000000 
520 -63.000000 49.388889 
530 -63.000000 50.444444 
540 -63.000000 48.819444 
550 -62.000000 51.805556 
560 -62.000000 50.986111 
570 -61.000000 53.027778 
580 -61.000000 51.625000 
590 -61.000000 53.402778 
600 -62.000000 51.791667 
610 -62.000000 53.833333 
620 -63.000000 51.847222 
630 -64.000000 55.013889 
640 -61.000000 55.875000 
650 -63.000000 57.111111 
660 -64.000000 58.194444 
670 -63.000000 55.736111 
680 -61.000000 52.430556 
690 -59.000000 48.486111 
700 -63.000000 50.861111 
710 -62.000000 52.472222 
720 -60.000000 51.402778 
730 -64.000000 52.805556 
740 -62.000000 53.847222 
750 -65.000000 53.638889 
760 -63.000000 53.763889 
770 -62.000000 57.875000 
780 -66.000000 55.791667 
790 -65.000000 58.291667 
800 -65.000000 56.958333 
810 -66.000000 56.763889 
820 -67.000000 57.430556 
830 -66.000000 56.930556 
840 -63.000000 59.069444 
850 -65.000000 62.305556 
860 -65.000000 59.194444 
870 -62.000000 62.611111 
880 -62.000000 61.388889 
890 -61.000000 64.541667 
900 -64.000000 57.513889 
910 -64.000000 60.625000 
920 -64.000000 63.555556 
930 -64.000000 65.958333 
940 -60.000000 65.333333 
950 -60.000000 66.805556 
960 -61.000000 71.916667 
970 -63.000000 71.319444 
980 -64.000000 71.291667 
