

# Relatório de Simulação.
# GRU - Gás de Rede Unidimensional
# Parâmetros da simulação:
# 

0 -57.000000 2.569444 
10 -62.000000 4.125000 
20 -62.000000 4.638889 
30 -64.000000 5.472222 
40 -61.000000 5.388889 
50 -59.000000 6.486111 
60 -60.000000 7.694444 
70 -61.000000 8.861111 
80 -59.000000 9.583333 
90 -60.000000 12.027778 
100 -64.000000 12.083333 
110 -62.000000 11.388889 
120 -61.000000 12.666667 
130 -61.000000 13.833333 
140 -61.000000 12.902778 
150 -60.000000 14.194444 
160 -59.000000 15.152778 
170 -60.000000 15.916667 
180 -64.000000 18.166667 
190 -64.000000 17.902778 
200 -62.000000 17.597222 
210 -65.000000 20.500000 
220 -61.000000 19.666667 
230 -63.000000 20.972222 
240 -62.000000 20.555556 
250 -62.000000 20.583333 
260 -62.000000 19.986111 
270 -61.000000 22.361111 
280 -64.000000 24.013889 
290 -61.000000 22.847222 
300 -62.000000 26.041667 
310 -60.000000 26.861111 
320 -61.000000 27.777778 
330 -62.000000 29.694444 
340 -64.000000 29.750000 
350 -64.000000 30.541667 
360 -61.000000 30.333333 
370 -61.000000 29.486111 
380 -62.000000 32.041667 
390 -62.000000 34.236111 
400 -61.000000 36.416667 
410 -61.000000 35.722222 
420 -61.000000 36.166667 
430 -62.000000 38.041667 
440 -59.000000 39.416667 
450 -59.000000 41.569444 
460 -61.000000 44.069444 
470 -61.000000 44.944444 
480 -62.000000 44.736111 
490 -62.000000 46.166667 
500 -62.000000 46.069444 
510 -61.000000 46.458333 
520 -62.000000 47.861111 
530 -60.000000 47.333333 
540 -60.000000 47.861111 
550 -62.000000 46.638889 
560 -58.000000 51.736111 
570 -59.000000 53.513889 
580 -59.000000 52.875000 
590 -60.000000 53.472222 
600 -62.000000 54.694444 
610 -60.000000 52.972222 
620 -58.000000 53.875000 
630 -62.000000 53.194444 
640 -64.000000 54.569444 
650 -62.000000 51.805556 
660 -63.000000 52.194444 
670 -62.000000 57.402778 
680 -63.000000 58.027778 
690 -63.000000 57.527778 
700 -62.000000 58.569444 
710 -59.000000 61.722222 
720 -59.000000 60.916667 
730 -60.000000 58.666667 
740 -60.000000 58.305556 
750 -56.000000 58.250000 
760 -63.000000 61.750000 
770 -59.000000 60.805556 
780 -59.000000 64.555556 
790 -62.000000 65.069444 
800 -58.000000 65.819444 
810 -61.000000 65.263889 
820 -62.000000 66.763889 
830 -62.000000 69.902778 
840 -62.000000 66.402778 
850 -60.000000 70.125000 
860 -65.000000 70.125000 
870 -63.000000 72.916667 
880 -63.000000 73.902778 
890 -63.000000 75.208333 
900 -63.000000 77.444444 
910 -63.000000 80.458333 
920 -64.000000 82.027778 
930 -63.000000 76.638889 
940 -63.000000 75.902778 
950 -62.000000 75.458333 
960 -62.000000 75.513889 
970 -60.000000 79.388889 
980 -62.000000 82.222222 
990 -62.000000 82.208333 
1000 -61.000000 85.291667 
1010 -63.000000 83.263889 
1020 -61.000000 85.083333 
1030 -60.000000 90.638889 
1040 -58.000000 92.611111 
1050 -61.000000 93.541667 
1060 -60.000000 94.000000 
1070 -60.000000 93.736111 
1080 -61.000000 92.069444 
1090 -64.000000 101.111111 
1100 -64.000000 97.527778 
1110 -61.000000 97.750000 
1120 -63.000000 91.958333 
1130 -60.000000 97.888889 
1140 -61.000000 94.375000 
1150 -63.000000 96.347222 
1160 -59.000000 94.402778 
1170 -64.000000 93.513889 
1180 -62.000000 91.013889 
1190 -59.000000 92.097222 
1200 -63.000000 93.375000 
1210 -62.000000 93.847222 
1220 -62.000000 98.430556 
1230 -64.000000 101.930556 
1240 -66.000000 103.750000 
1250 -66.000000 103.500000 
1260 -62.000000 103.777778 
1270 -63.000000 102.277778 
1280 -63.000000 99.847222 
1290 -62.000000 95.083333 
1300 -64.000000 92.902778 
1310 -62.000000 99.694444 
1320 -61.000000 100.347222 
1330 -61.000000 96.680556 
1340 -61.000000 99.652778 
1350 -64.000000 102.291667 
1360 -64.000000 101.944444 
1370 -63.000000 98.583333 
1380 -62.000000 98.236111 
1390 -64.000000 98.930556 
1400 -65.000000 102.986111 
1410 -63.000000 107.555556 
1420 -65.000000 102.555556 
1430 -63.000000 105.902778 
1440 -62.000000 115.069444 
1450 -63.000000 113.027778 
1460 -63.000000 116.513889 
1470 -65.000000 118.972222 
1480 -66.000000 121.291667 
1490 -62.000000 117.152778 
1500 -65.000000 119.513889 
1510 -63.000000 117.791667 
1520 -63.000000 116.277778 
1530 -64.000000 119.875000 
1540 -63.000000 119.916667 
1550 -60.000000 121.597222 
1560 -64.000000 122.972222 
1570 -61.000000 126.375000 
1580 -62.000000 124.680556 
1590 -64.000000 126.916667 
1600 -62.000000 124.069444 
1610 -65.000000 121.875000 
1620 -61.000000 122.444444 
1630 -61.000000 116.000000 
1640 -58.000000 117.972222 
1650 -62.000000 117.666667 
1660 -60.000000 118.388889 
1670 -60.000000 114.180556 
1680 -62.000000 114.527778 
1690 -62.000000 112.027778 
1700 -59.000000 115.722222 
1710 -62.000000 118.166667 
1720 -64.000000 119.472222 
1730 -59.000000 119.333333 
1740 -60.000000 118.111111 
1750 -62.000000 120.833333 
1760 -61.000000 120.319444 
1770 -59.000000 120.013889 
1780 -59.000000 117.875000 
1790 -61.000000 120.486111 
1800 -59.000000 118.555556 
1810 -61.000000 124.069444 
1820 -59.000000 128.847222 
1830 -60.000000 128.111111 
1840 -61.000000 133.805556 
1850 -59.000000 140.222222 
1860 -61.000000 142.583333 
1870 -62.000000 146.041667 
1880 -61.000000 148.236111 
1890 -58.000000 149.222222 
1900 -59.000000 149.513889 
1910 -61.000000 148.000000 
1920 -58.000000 149.111111 
1930 -61.000000 150.625000 
1940 -64.000000 152.819444 
1950 -63.000000 148.763889 
1960 -63.000000 144.263889 
1970 -62.000000 147.625000 
1980 -62.000000 147.736111 
1990 -60.000000 144.750000 
2000 -60.000000 141.402778 
2010 -61.000000 146.708333 
2020 -62.000000 146.486111 
2030 -61.000000 148.527778 
2040 -63.000000 144.500000 
2050 -60.000000 145.347222 
2060 -63.000000 155.055556 
2070 -62.000000 159.375000 
2080 -64.000000 169.694444 
2090 -61.000000 167.111111 
2100 -61.000000 168.888889 
2110 -64.000000 172.111111 
2120 -62.000000 176.500000 
2130 -62.000000 180.263889 
2140 -64.000000 181.444444 
2150 -62.000000 181.430556 
2160 -62.000000 178.569444 
2170 -62.000000 183.305556 
2180 -62.000000 182.416667 
2190 -61.000000 183.500000 
2200 -62.000000 186.291667 
2210 -63.000000 189.388889 
2220 -64.000000 194.347222 
2230 -61.000000 189.013889 
2240 -63.000000 195.916667 
2250 -63.000000 189.388889 
2260 -65.000000 184.291667 
2270 -62.000000 181.583333 
2280 -63.000000 184.708333 
2290 -64.000000 182.375000 
2300 -61.000000 183.763889 
2310 -61.000000 189.666667 
2320 -61.000000 187.250000 
2330 -61.000000 190.652778 
2340 -63.000000 188.736111 
2350 -62.000000 189.722222 
2360 -59.000000 191.236111 
2370 -64.000000 191.277778 
2380 -63.000000 189.708333 
2390 -61.000000 184.861111 
2400 -60.000000 180.263889 
2410 -64.000000 183.152778 
2420 -63.000000 182.652778 
2430 -62.000000 181.861111 
2440 -61.000000 181.152778 
2450 -64.000000 184.277778 
2460 -64.000000 181.750000 
2470 -66.000000 180.041667 
2480 -62.000000 181.055556 
2490 -64.000000 184.902778 
2500 -65.000000 180.902778 
2510 -66.000000 178.694444 
2520 -60.000000 183.083333 
2530 -63.000000 185.041667 
2540 -63.000000 186.194444 
2550 -64.000000 187.638889 
2560 -63.000000 185.708333 
2570 -64.000000 186.319444 
2580 -64.000000 189.291667 
2590 -66.000000 187.319444 
2600 -64.000000 185.888889 
2610 -64.000000 188.652778 
2620 -63.000000 187.861111 
2630 -61.000000 184.527778 
2640 -64.000000 193.222222 
2650 -63.000000 197.222222 
2660 -64.000000 203.805556 
2670 -64.000000 202.722222 
2680 -62.000000 198.611111 
2690 -61.000000 202.263889 
2700 -61.000000 200.236111 
2710 -59.000000 203.861111 
2720 -65.000000 210.708333 
2730 -63.000000 212.819444 
2740 -61.000000 208.569444 
2750 -63.000000 208.416667 
2760 -65.000000 213.750000 
2770 -62.000000 216.152778 
2780 -64.000000 212.986111 
2790 -64.000000 213.986111 
2800 -62.000000 219.888889 
2810 -63.000000 222.069444 
2820 -61.000000 225.194444 
2830 -63.000000 230.750000 
2840 -63.000000 227.750000 
2850 -62.000000 229.513889 
2860 -60.000000 222.638889 
2870 -59.000000 226.513889 
2880 -61.000000 222.833333 
2890 -64.000000 232.875000 
2900 -63.000000 232.625000 
2910 -61.000000 231.597222 
2920 -63.000000 224.333333 
2930 -62.000000 225.194444 
2940 -65.000000 228.250000 
2950 -64.000000 223.263889 
2960 -65.000000 222.083333 
2970 -64.000000 223.847222 
2980 -65.000000 223.416667 
2990 -66.000000 228.277778 
3000 -65.000000 223.333333 
3010 -66.000000 223.000000 
3020 -67.000000 221.250000 
3030 -65.000000 222.416667 
3040 -62.000000 223.875000 
3050 -62.000000 224.777778 
3060 -63.000000 224.222222 
3070 -63.000000 227.125000 
3080 -59.000000 226.166667 
3090 -59.000000 227.236111 
3100 -61.000000 224.083333 
3110 -61.000000 229.236111 
3120 -59.000000 229.930556 
3130 -63.000000 230.486111 
3140 -58.000000 231.972222 
3150 -61.000000 235.111111 
3160 -61.000000 237.500000 
3170 -61.000000 239.500000 
3180 -62.000000 243.777778 
3190 -62.000000 231.875000 
3200 -62.000000 232.500000 
3210 -61.000000 236.694444 
3220 -60.000000 231.305556 
3230 -59.000000 229.263889 
3240 -59.000000 223.375000 
3250 -58.000000 223.611111 
3260 -60.000000 221.263889 
3270 -60.000000 220.847222 
3280 -62.000000 216.208333 
3290 -61.000000 213.708333 
3300 -60.000000 223.236111 
3310 -62.000000 225.875000 
3320 -64.000000 228.902778 
3330 -63.000000 227.555556 
3340 -64.000000 227.013889 
3350 -62.000000 228.027778 
3360 -63.000000 227.333333 
3370 -62.000000 237.208333 
3380 -60.000000 240.833333 
3390 -63.000000 245.333333 
3400 -58.000000 248.027778 
3410 -62.000000 254.555556 
3420 -62.000000 260.805556 
3430 -62.000000 258.041667 
3440 -63.000000 254.277778 
3450 -65.000000 254.888889 
3460 -64.000000 256.430556 
3470 -65.000000 249.583333 
3480 -65.000000 250.027778 
3490 -62.000000 252.763889 
3500 -62.000000 251.236111 
3510 -61.000000 247.444444 
3520 -60.000000 247.444444 
3530 -63.000000 253.763889 
3540 -64.000000 253.680556 
3550 -62.000000 247.972222 
3560 -61.000000 252.180556 
3570 -59.000000 255.041667 
3580 -65.000000 250.305556 
3590 -63.000000 257.972222 
3600 -63.000000 258.722222 
3610 -60.000000 262.263889 
3620 -62.000000 258.333333 
3630 -65.000000 262.319444 
3640 -63.000000 263.375000 
3650 -62.000000 255.986111 
3660 -58.000000 262.361111 
3670 -61.000000 265.277778 
3680 -59.000000 266.916667 
3690 -59.000000 269.819444 
3700 -56.000000 272.013889 
3710 -64.000000 274.319444 
3720 -62.000000 272.125000 
3730 -62.000000 278.847222 
3740 -61.000000 284.402778 
3750 -59.000000 284.819444 
3760 -60.000000 284.930556 
3770 -60.000000 282.652778 
3780 -63.000000 293.222222 
3790 -60.000000 299.000000 
3800 -61.000000 305.375000 
3810 -62.000000 306.208333 
3820 -64.000000 302.694444 
3830 -58.000000 304.500000 
3840 -59.000000 304.944444 
3850 -60.000000 307.000000 
3860 -56.000000 309.805556 
3870 -63.000000 311.083333 
3880 -62.000000 315.319444 
3890 -59.000000 309.694444 
3900 -60.000000 317.388889 
3910 -59.000000 319.208333 
3920 -60.000000 318.666667 
3930 -59.000000 323.986111 
3940 -64.000000 322.777778 
3950 -62.000000 313.722222 
3960 -61.000000 323.430556 
3970 -60.000000 329.888889 
3980 -62.000000 332.944444 
3990 -64.000000 336.180556 
4000 -63.000000 328.319444 
4010 -64.000000 324.541667 
4020 -61.000000 324.027778 
4030 -60.000000 321.680556 
4040 -61.000000 312.541667 
4050 -60.000000 313.958333 
4060 -60.000000 322.555556 
4070 -64.000000 323.722222 
4080 -61.000000 326.402778 
4090 -59.000000 328.361111 
4100 -61.000000 334.527778 
4110 -61.000000 340.750000 
4120 -60.000000 335.069444 
4130 -60.000000 338.527778 
4140 -62.000000 341.750000 
4150 -66.000000 342.000000 
4160 -64.000000 348.472222 
4170 -62.000000 349.680556 
4180 -63.000000 358.652778 
4190 -62.000000 356.944444 
4200 -61.000000 343.152778 
4210 -63.000000 354.361111 
4220 -60.000000 353.972222 
4230 -60.000000 354.125000 
4240 -63.000000 352.750000 
4250 -65.000000 352.375000 
4260 -64.000000 354.166667 
4270 -63.000000 348.388889 
4280 -61.000000 343.652778 
4290 -62.000000 347.888889 
4300 -62.000000 342.555556 
4310 -65.000000 353.597222 
4320 -65.000000 356.916667 
4330 -66.000000 355.000000 
4340 -66.000000 357.222222 
4350 -66.000000 358.250000 
4360 -67.000000 359.361111 
4370 -65.000000 354.750000 
4380 -62.000000 349.250000 
4390 -61.000000 349.194444 
4400 -60.000000 355.652778 
4410 -63.000000 362.833333 
4420 -63.000000 365.333333 
4430 -59.000000 363.000000 
4440 -61.000000 353.472222 
4450 -62.000000 359.222222 
4460 -63.000000 365.333333 
4470 -62.000000 363.152778 
4480 -61.000000 362.847222 
4490 -63.000000 365.013889 
4500 -63.000000 371.805556 
4510 -61.000000 375.555556 
4520 -64.000000 374.611111 
4530 -61.000000 376.736111 
4540 -62.000000 368.013889 
4550 -63.000000 379.361111 
4560 -64.000000 376.763889 
4570 -62.000000 384.430556 
4580 -61.000000 393.527778 
4590 -62.000000 393.430556 
4600 -63.000000 388.361111 
4610 -62.000000 387.722222 
4620 -63.000000 383.000000 
4630 -60.000000 384.777778 
4640 -63.000000 385.652778 
4650 -64.000000 390.861111 
4660 -64.000000 388.444444 
4670 -61.000000 392.444444 
4680 -64.000000 385.111111 
4690 -64.000000 384.166667 
4700 -62.000000 383.208333 
4710 -63.000000 376.861111 
4720 -65.000000 371.861111 
4730 -66.000000 371.888889 
4740 -63.000000 378.194444 
4750 -62.000000 384.138889 
4760 -62.000000 382.972222 
4770 -65.000000 375.500000 
4780 -64.000000 377.583333 
4790 -61.000000 381.291667 
4800 -60.000000 376.041667 
4810 -61.000000 373.722222 
4820 -62.000000 387.805556 
4830 -64.000000 403.180556 
4840 -63.000000 409.291667 
4850 -61.000000 404.458333 
4860 -61.000000 408.861111 
4870 -62.000000 405.138889 
4880 -63.000000 400.569444 
4890 -63.000000 400.444444 
4900 -63.000000 403.208333 
4910 -62.000000 399.458333 
4920 -61.000000 396.888889 
4930 -59.000000 399.638889 
4940 -62.000000 403.583333 
4950 -60.000000 410.930556 
4960 -61.000000 419.833333 
4970 -63.000000 413.222222 
