

# Relatório de Simulação.
# GRU - Gás de Rede Unidimensional
# Parâmetros da simulação:
# ./gru -r -L 100 -N 72 -t 10000 -s 10 -T 0.4 -a teste-novo4.dat 

0 -59.000000 1.847222 
10 -60.000000 3.680556 
20 -61.000000 5.930556 
30 -62.000000 7.722222 
40 -63.000000 7.875000 
50 -62.000000 9.638889 
60 -61.000000 10.236111 
70 -59.000000 10.152778 
80 -61.000000 11.097222 
90 -60.000000 13.833333 
100 -62.000000 15.347222 
110 -62.000000 14.583333 
120 -59.000000 16.194444 
130 -60.000000 17.513889 
140 -59.000000 19.027778 
150 -58.000000 20.666667 
160 -60.000000 18.486111 
170 -58.000000 18.986111 
180 -62.000000 23.180556 
190 -58.000000 23.458333 
200 -56.000000 25.125000 
210 -61.000000 23.680556 
220 -61.000000 23.763889 
230 -61.000000 25.666667 
240 -58.000000 24.958333 
250 -60.000000 24.666667 
260 -60.000000 23.958333 
270 -62.000000 22.208333 
280 -63.000000 26.000000 
290 -62.000000 24.236111 
300 -57.000000 22.972222 
310 -62.000000 24.638889 
320 -62.000000 27.263889 
330 -63.000000 27.375000 
340 -60.000000 27.333333 
350 -60.000000 27.583333 
360 -60.000000 29.180556 
370 -60.000000 29.402778 
380 -60.000000 33.541667 
390 -58.000000 32.583333 
400 -61.000000 32.083333 
410 -61.000000 30.819444 
420 -63.000000 31.097222 
430 -62.000000 30.388889 
440 -64.000000 30.222222 
450 -61.000000 29.736111 
460 -63.000000 32.652778 
470 -62.000000 33.680556 
480 -62.000000 35.125000 
490 -63.000000 39.541667 
500 -59.000000 42.041667 
510 -61.000000 43.694444 
520 -63.000000 42.708333 
530 -58.000000 42.541667 
540 -59.000000 44.736111 
550 -63.000000 42.791667 
560 -60.000000 42.263889 
570 -57.000000 42.819444 
580 -61.000000 42.347222 
590 -63.000000 42.013889 
600 -60.000000 41.444444 
610 -60.000000 45.250000 
620 -61.000000 44.472222 
630 -63.000000 46.333333 
640 -59.000000 47.277778 
650 -59.000000 46.527778 
660 -59.000000 51.930556 
670 -60.000000 50.375000 
680 -61.000000 45.791667 
690 -59.000000 49.347222 
700 -58.000000 52.680556 
710 -59.000000 54.583333 
720 -59.000000 56.680556 
730 -60.000000 52.013889 
740 -64.000000 58.458333 
750 -59.000000 54.944444 
760 -60.000000 51.291667 
770 -62.000000 53.347222 
780 -61.000000 54.305556 
790 -61.000000 54.291667 
800 -62.000000 54.805556 
810 -62.000000 56.722222 
820 -60.000000 59.138889 
830 -60.000000 60.194444 
840 -57.000000 55.763889 
850 -62.000000 57.763889 
860 -63.000000 59.777778 
870 -63.000000 63.416667 
880 -66.000000 68.416667 
890 -67.000000 66.444444 
900 -67.000000 64.208333 
910 -67.000000 63.152778 
920 -67.000000 64.125000 
930 -66.000000 64.319444 
940 -66.000000 65.819444 
950 -61.000000 64.208333 
960 -59.000000 65.597222 
970 -63.000000 65.402778 
980 -62.000000 63.319444 
990 -62.000000 64.819444 
