# Relatório de Simulação.
# GRU - Gás de Rede Unidimensional
# Parâmetros da simulação:
# ./gru -r -L 100 -N 72 -t 10000 -s 10 -T 0.4 -a teste.dat 


0 -58.000000 3.291667 
10 -59.000000 4.930556 
20 -60.000000 6.541667 
30 -61.000000 6.277778 
40 -61.000000 6.333333 
50 -61.000000 6.944444 
60 -64.000000 9.083333 
70 -62.000000 8.763889 
80 -62.000000 10.277778 
90 -61.000000 11.194444 
100 -63.000000 12.458333 
110 -63.000000 11.888889 
120 -63.000000 12.805556 
130 -64.000000 15.152778 
140 -64.000000 14.291667 
150 -64.000000 14.180556 
160 -64.000000 16.750000 
170 -61.000000 16.694444 
180 -63.000000 15.625000 
190 -60.000000 17.694444 
200 -62.000000 19.250000 
210 -62.000000 18.777778 
220 -62.000000 22.791667 
230 -59.000000 24.083333 
240 -58.000000 23.694444 
250 -59.000000 26.083333 
260 -63.000000 23.763889 
270 -63.000000 24.277778 
280 -62.000000 25.138889 
290 -59.000000 27.555556 
300 -61.000000 29.527778 
310 -59.000000 32.111111 
320 -58.000000 29.277778 
330 -63.000000 31.625000 
340 -62.000000 34.458333 
350 -60.000000 35.097222 
360 -63.000000 37.194444 
370 -62.000000 42.444444 
380 -61.000000 44.097222 
390 -65.000000 41.500000 
400 -64.000000 41.111111 
410 -62.000000 41.055556 
420 -64.000000 40.986111 
430 -64.000000 39.388889 
440 -62.000000 40.625000 
450 -61.000000 41.208333 
460 -61.000000 42.138889 
470 -61.000000 41.416667 
480 -62.000000 45.611111 
490 -62.000000 47.041667 
500 -62.000000 45.361111 
510 -61.000000 51.388889 
520 -62.000000 49.819444 
530 -61.000000 51.361111 
540 -64.000000 54.486111 
550 -61.000000 55.750000 
560 -60.000000 55.805556 
570 -60.000000 58.305556 
580 -61.000000 61.875000 
590 -60.000000 68.625000 
600 -60.000000 71.194444 
610 -65.000000 68.180556 
620 -63.000000 71.569444 
630 -61.000000 71.652778 
640 -61.000000 73.194444 
650 -60.000000 77.097222 
660 -62.000000 76.333333 
670 -62.000000 74.375000 
680 -63.000000 79.819444 
690 -65.000000 86.222222 
700 -62.000000 85.847222 
710 -62.000000 87.791667 
720 -64.000000 86.000000 
730 -62.000000 88.250000 
740 -61.000000 91.375000 
750 -61.000000 83.138889 
760 -59.000000 82.722222 
770 -61.000000 84.541667 
780 -61.000000 87.750000 
790 -62.000000 89.194444 
800 -59.000000 90.375000 
810 -60.000000 88.055556 
820 -62.000000 93.513889 
830 -60.000000 94.291667 
840 -62.000000 97.388889 
850 -63.000000 95.916667 
860 -63.000000 95.416667 
870 -62.000000 92.958333 
880 -61.000000 91.458333 
890 -60.000000 92.263889 
900 -60.000000 93.958333 
910 -60.000000 94.194444 
920 -60.000000 96.944444 
930 -60.000000 102.222222 
940 -61.000000 101.583333 
950 -62.000000 102.388889 
960 -64.000000 104.402778 
970 -61.000000 105.166667 
980 -61.000000 109.291667 
990 -60.000000 110.166667 
1000 -59.000000 104.583333 
1010 -61.000000 101.750000 
1020 -61.000000 101.875000 
1030 -63.000000 103.611111 
1040 -63.000000 104.291667 
1050 -63.000000 108.458333 
1060 -63.000000 110.694444 
1070 -65.000000 113.916667 
1080 -64.000000 113.805556 
1090 -61.000000 114.430556 
1100 -63.000000 118.972222 
1110 -61.000000 119.222222 
1120 -63.000000 121.472222 
1130 -62.000000 123.333333 
1140 -64.000000 120.847222 
1150 -63.000000 120.000000 
1160 -59.000000 117.625000 
1170 -59.000000 115.083333 
1180 -59.000000 111.652778 
1190 -59.000000 112.291667 
1200 -59.000000 106.319444 
1210 -59.000000 106.388889 
1220 -60.000000 104.958333 
1230 -61.000000 106.694444 
1240 -61.000000 107.194444 
1250 -64.000000 110.833333 
1260 -60.000000 107.041667 
1270 -59.000000 109.347222 
1280 -58.000000 106.888889 
1290 -60.000000 107.847222 
1300 -58.000000 107.902778 
1310 -60.000000 110.041667 
1320 -61.000000 112.347222 
1330 -58.000000 114.347222 
1340 -63.000000 116.625000 
1350 -62.000000 112.222222 
1360 -64.000000 116.083333 
1370 -63.000000 114.736111 
1380 -65.000000 122.236111 
1390 -63.000000 124.222222 
1400 -61.000000 123.652778 
1410 -63.000000 128.555556 
1420 -64.000000 124.041667 
1430 -63.000000 124.152778 
1440 -62.000000 120.763889 
1450 -65.000000 121.750000 
1460 -62.000000 120.805556 
1470 -64.000000 125.250000 
1480 -59.000000 128.375000 
1490 -62.000000 123.180556 
1500 -61.000000 124.236111 
1510 -60.000000 126.111111 
1520 -60.000000 127.972222 
1530 -61.000000 130.875000 
1540 -62.000000 133.472222 
1550 -61.000000 133.097222 
1560 -62.000000 138.375000 
1570 -59.000000 145.138889 
1580 -60.000000 144.361111 
1590 -59.000000 147.472222 
1600 -60.000000 145.208333 
1610 -62.000000 149.000000 
1620 -63.000000 152.694444 
1630 -62.000000 156.638889 
1640 -60.000000 159.819444 
1650 -63.000000 158.583333 
1660 -63.000000 150.861111 
1670 -66.000000 153.916667 
1680 -65.000000 156.750000 
1690 -63.000000 157.597222 
1700 -63.000000 158.819444 
1710 -62.000000 159.486111 
1720 -60.000000 147.666667 
1730 -63.000000 153.152778 
1740 -62.000000 157.222222 
1750 -63.000000 159.583333 
1760 -65.000000 157.777778 
1770 -64.000000 153.958333 
1780 -64.000000 152.250000 
1790 -63.000000 155.944444 
1800 -63.000000 153.805556 
1810 -64.000000 154.097222 
1820 -61.000000 156.888889 
1830 -60.000000 158.402778 
1840 -59.000000 150.652778 
1850 -62.000000 149.416667 
1860 -61.000000 150.722222 
1870 -63.000000 152.513889 
1880 -61.000000 153.694444 
1890 -62.000000 153.375000 
1900 -62.000000 163.388889 
1910 -64.000000 164.625000 
1920 -61.000000 165.819444 
1930 -61.000000 163.583333 
1940 -64.000000 169.250000 
1950 -60.000000 170.166667 
1960 -60.000000 176.638889 
1970 -62.000000 175.236111 
1980 -61.000000 168.652778 
1990 -58.000000 168.152778 
2000 -57.000000 162.402778 
2010 -58.000000 166.500000 
2020 -61.000000 158.833333 
2030 -60.000000 161.319444 
2040 -62.000000 159.847222 
2050 -59.000000 160.847222 
2060 -63.000000 156.180556 
2070 -61.000000 157.083333 
2080 -59.000000 157.375000 
2090 -63.000000 161.791667 
2100 -64.000000 161.222222 
2110 -62.000000 168.347222 
2120 -64.000000 166.652778 
2130 -66.000000 166.250000 
2140 -65.000000 163.666667 
2150 -62.000000 162.138889 
2160 -63.000000 163.125000 
2170 -64.000000 163.847222 
2180 -62.000000 161.458333 
2190 -63.000000 162.638889 
2200 -63.000000 167.944444 
2210 -66.000000 166.569444 
2220 -64.000000 163.847222 
2230 -65.000000 172.791667 
2240 -63.000000 171.666667 
2250 -63.000000 174.500000 
2260 -61.000000 173.972222 
2270 -65.000000 170.541667 
2280 -62.000000 170.888889 
2290 -61.000000 165.527778 
2300 -61.000000 180.777778 
2310 -61.000000 180.777778 
2320 -62.000000 173.666667 
2330 -61.000000 180.236111 
2340 -61.000000 176.277778 
2350 -61.000000 179.736111 
2360 -59.000000 182.486111 
2370 -61.000000 181.569444 
2380 -61.000000 170.430556 
2390 -59.000000 175.972222 
2400 -61.000000 180.041667 
2410 -62.000000 184.930556 
2420 -64.000000 178.638889 
2430 -63.000000 185.027778 
2440 -62.000000 191.083333 
2450 -62.000000 192.791667 
2460 -61.000000 190.972222 
2470 -59.000000 202.097222 
2480 -63.000000 199.944444 
2490 -62.000000 203.500000 
2500 -62.000000 200.847222 
2510 -62.000000 202.277778 
2520 -62.000000 208.680556 
2530 -55.000000 205.680556 
2540 -60.000000 203.625000 
2550 -60.000000 204.027778 
2560 -61.000000 203.347222 
2570 -61.000000 203.736111 
2580 -62.000000 209.027778 
2590 -59.000000 203.375000 
2600 -61.000000 204.930556 
2610 -60.000000 204.555556 
2620 -60.000000 208.625000 
2630 -62.000000 215.125000 
2640 -62.000000 217.777778 
2650 -62.000000 220.500000 
2660 -62.000000 228.250000 
2670 -62.000000 231.583333 
2680 -61.000000 231.013889 
2690 -63.000000 228.805556 
2700 -63.000000 231.513889 
2710 -65.000000 228.041667 
2720 -63.000000 233.430556 
2730 -63.000000 232.972222 
2740 -61.000000 233.319444 
2750 -63.000000 230.875000 
2760 -64.000000 228.791667 
2770 -64.000000 228.722222 
2780 -63.000000 222.152778 
2790 -65.000000 226.097222 
2800 -65.000000 223.069444 
2810 -63.000000 220.819444 
2820 -62.000000 222.194444 
2830 -63.000000 231.027778 
2840 -63.000000 235.180556 
2850 -64.000000 235.208333 
2860 -63.000000 237.888889 
2870 -63.000000 241.972222 
2880 -64.000000 243.708333 
2890 -63.000000 237.625000 
2900 -63.000000 237.583333 
2910 -63.000000 238.166667 
2920 -63.000000 239.263889 
2930 -63.000000 235.833333 
2940 -64.000000 243.916667 
2950 -64.000000 242.069444 
2960 -64.000000 244.097222 
2970 -64.000000 241.777778 
2980 -65.000000 241.736111 
2990 -65.000000 249.208333 
3000 -64.000000 248.680556 
3010 -63.000000 251.111111 
3020 -63.000000 260.027778 
3030 -63.000000 258.208333 
3040 -65.000000 259.583333 
3050 -66.000000 258.416667 
3060 -66.000000 255.625000 
3070 -65.000000 253.236111 
3080 -66.000000 254.388889 
3090 -66.000000 250.555556 
3100 -65.000000 254.875000 
3110 -66.000000 252.458333 
3120 -67.000000 252.097222 
3130 -66.000000 255.444444 
3140 -66.000000 256.444444 
3150 -66.000000 255.722222 
3160 -66.000000 255.888889 
3170 -64.000000 254.486111 
3180 -67.000000 258.236111 
3190 -65.000000 256.930556 
3200 -65.000000 258.319444 
3210 -62.000000 254.055556 
3220 -63.000000 253.361111 
3230 -64.000000 249.861111 
3240 -65.000000 252.791667 
3250 -67.000000 252.166667 
3260 -65.000000 248.277778 
3270 -66.000000 246.277778 
3280 -64.000000 253.763889 
3290 -65.000000 252.222222 
3300 -65.000000 258.541667 
3310 -63.000000 260.569444 
3320 -66.000000 262.055556 
3330 -66.000000 264.375000 
3340 -63.000000 264.166667 
3350 -61.000000 255.666667 
3360 -63.000000 256.152778 
3370 -61.000000 255.916667 
3380 -61.000000 261.777778 
3390 -61.000000 261.902778 
3400 -62.000000 260.666667 
3410 -60.000000 257.125000 
3420 -61.000000 268.236111 
3430 -61.000000 273.750000 
3440 -61.000000 269.444444 
3450 -58.000000 269.402778 
3460 -57.000000 276.958333 
3470 -62.000000 281.583333 
3480 -62.000000 279.208333 
3490 -65.000000 284.680556 
3500 -62.000000 284.527778 
3510 -65.000000 286.680556 
3520 -61.000000 288.500000 
3530 -64.000000 297.597222 
3540 -61.000000 289.847222 
3550 -62.000000 288.041667 
3560 -62.000000 292.277778 
3570 -64.000000 296.416667 
3580 -66.000000 285.319444 
3590 -63.000000 283.625000 
3600 -64.000000 285.597222 
3610 -64.000000 287.444444 
3620 -62.000000 284.111111 
3630 -64.000000 295.083333 
3640 -62.000000 298.486111 
3650 -60.000000 282.944444 
3660 -60.000000 288.013889 
3670 -61.000000 281.152778 
3680 -61.000000 280.430556 
3690 -60.000000 282.625000 
3700 -64.000000 291.861111 
3710 -64.000000 288.708333 
3720 -62.000000 299.861111 
3730 -61.000000 302.555556 
3740 -63.000000 308.166667 
3750 -59.000000 302.805556 
3760 -61.000000 304.805556 
3770 -62.000000 310.638889 
3780 -60.000000 311.027778 
3790 -63.000000 317.263889 
3800 -64.000000 329.819444 
3810 -63.000000 325.500000 
3820 -64.000000 330.277778 
3830 -62.000000 321.750000 
3840 -60.000000 315.847222 
3850 -60.000000 326.083333 
3860 -61.000000 334.402778 
3870 -60.000000 336.152778 
3880 -62.000000 345.638889 
3890 -61.000000 336.888889 
3900 -64.000000 340.069444 
3910 -65.000000 341.666667 
3920 -61.000000 342.500000 
3930 -63.000000 341.027778 
3940 -60.000000 342.305556 
3950 -62.000000 347.583333 
3960 -63.000000 351.583333 
3970 -64.000000 356.083333 
3980 -63.000000 364.000000 
3990 -64.000000 361.833333 
4000 -64.000000 364.722222 
4010 -63.000000 367.916667 
4020 -60.000000 367.527778 
4030 -59.000000 379.013889 
4040 -60.000000 374.819444 
4050 -63.000000 385.625000 
4060 -62.000000 375.375000 
4070 -64.000000 378.486111 
4080 -63.000000 377.250000 
4090 -61.000000 360.222222 
4100 -63.000000 367.541667 
4110 -63.000000 389.875000 
4120 -62.000000 389.263889 
4130 -64.000000 382.305556 
4140 -63.000000 382.722222 
4150 -64.000000 371.305556 
4160 -65.000000 368.750000 
4170 -67.000000 361.444444 
4180 -66.000000 362.638889 
4190 -62.000000 373.388889 
4200 -61.000000 373.847222 
4210 -60.000000 371.416667 
4220 -58.000000 378.986111 
4230 -59.000000 386.138889 
4240 -63.000000 390.458333 
4250 -60.000000 383.250000 
4260 -62.000000 391.402778 
4270 -62.000000 387.944444 
4280 -61.000000 395.500000 
4290 -62.000000 397.680556 
4300 -60.000000 402.666667 
4310 -62.000000 397.000000 
4320 -60.000000 402.944444 
4330 -60.000000 404.583333 
4340 -62.000000 405.333333 
4350 -63.000000 406.986111 
4360 -63.000000 404.444444 
4370 -60.000000 392.180556 
4380 -61.000000 382.847222 
4390 -61.000000 373.319444 
4400 -63.000000 380.097222 
4410 -63.000000 380.430556 
4420 -64.000000 375.236111 
4430 -63.000000 378.472222 
4440 -62.000000 374.500000 
4450 -62.000000 372.402778 
4460 -63.000000 371.236111 
4470 -62.000000 366.902778 
4480 -61.000000 373.597222 
4490 -61.000000 386.333333 
4500 -62.000000 397.541667 
4510 -64.000000 392.569444 
4520 -62.000000 396.569444 
4530 -65.000000 403.180556 
4540 -64.000000 408.805556 
4550 -65.000000 415.763889 
4560 -64.000000 419.250000 
4570 -64.000000 419.486111 
4580 -61.000000 417.055556 
4590 -63.000000 423.513889 
4600 -64.000000 421.236111 
4610 -63.000000 419.041667 
4620 -59.000000 396.375000 
4630 -58.000000 401.319444 
4640 -64.000000 410.944444 
4650 -62.000000 416.611111 
4660 -63.000000 422.777778 
4670 -63.000000 416.083333 
4680 -61.000000 417.041667 
4690 -61.000000 414.041667 
4700 -64.000000 412.444444 
4710 -64.000000 419.375000 
4720 -62.000000 422.513889 
4730 -65.000000 430.513889 
4740 -67.000000 435.569444 
4750 -66.000000 433.069444 
4760 -66.000000 433.263889 
4770 -67.000000 433.750000 
4780 -62.000000 440.097222 
4790 -62.000000 441.805556 
4800 -63.000000 438.555556 
4810 -63.000000 437.694444 
4820 -62.000000 438.972222 
4830 -64.000000 431.958333 
4840 -62.000000 439.277778 
4850 -66.000000 437.750000 
4860 -63.000000 449.013889 
4870 -64.000000 446.152778 
4880 -64.000000 446.958333 
4890 -64.000000 451.597222 
4900 -65.000000 449.680556 
4910 -64.000000 446.541667 
4920 -64.000000 450.763889 
4930 -65.000000 440.680556 
4940 -63.000000 445.347222 
4950 -64.000000 456.236111 
4960 -62.000000 457.986111 
4970 -64.000000 454.555556 
4980 -64.000000 455.027778 
4990 -62.000000 456.263889 
5000 -60.000000 454.694444 
5010 -61.000000 448.958333 
5020 -63.000000 457.583333 
5030 -62.000000 448.263889 
5040 -57.000000 439.777778 
5050 -60.000000 433.000000 
5060 -61.000000 443.944444 
5070 -60.000000 432.555556 
5080 -61.000000 429.375000 
5090 -61.000000 426.888889 
5100 -62.000000 429.125000 
5110 -60.000000 422.555556 
5120 -61.000000 414.180556 
5130 -63.000000 405.277778 
5140 -61.000000 411.305556 
5150 -61.000000 418.722222 
5160 -63.000000 421.625000 
5170 -58.000000 418.958333 
5180 -62.000000 410.861111 
5190 -62.000000 414.902778 
5200 -61.000000 422.416667 
5210 -60.000000 412.791667 
5220 -60.000000 410.444444 
5230 -63.000000 417.819444 
5240 -62.000000 414.500000 
5250 -62.000000 423.180556 
5260 -60.000000 421.541667 
5270 -62.000000 415.416667 
5280 -60.000000 408.666667 
5290 -63.000000 412.513889 
5300 -60.000000 406.291667 
5310 -63.000000 394.861111 
5320 -63.000000 400.097222 
5330 -61.000000 401.236111 
5340 -60.000000 397.319444 
5350 -60.000000 405.319444 
5360 -63.000000 409.097222 
5370 -62.000000 412.263889 
5380 -60.000000 414.222222 
5390 -61.000000 409.500000 
5400 -61.000000 414.111111 
5410 -61.000000 416.819444 
5420 -58.000000 412.430556 
5430 -61.000000 402.152778 
5440 -60.000000 407.722222 
5450 -59.000000 415.472222 
5460 -60.000000 427.708333 
5470 -64.000000 423.986111 
5480 -63.000000 421.444444 
5490 -60.000000 422.000000 
5500 -64.000000 419.208333 
5510 -61.000000 421.430556 
5520 -62.000000 427.430556 
5530 -61.000000 429.638889 
5540 -58.000000 438.222222 
5550 -59.000000 435.638889 
5560 -61.000000 438.583333 
5570 -62.000000 431.375000 
5580 -60.000000 428.527778 
5590 -60.000000 433.194444 
5600 -61.000000 438.680556 
5610 -62.000000 446.888889 
5620 -60.000000 436.569444 
5630 -60.000000 443.041667 
5640 -61.000000 447.000000 
5650 -61.000000 445.013889 
5660 -64.000000 441.041667 
5670 -63.000000 444.666667 
5680 -60.000000 443.138889 
5690 -59.000000 452.166667 
5700 -59.000000 448.708333 
5710 -64.000000 443.388889 
5720 -63.000000 447.527778 
5730 -64.000000 446.583333 
5740 -63.000000 458.944444 
5750 -63.000000 462.638889 
5760 -63.000000 473.027778 
5770 -63.000000 464.736111 
5780 -63.000000 469.916667 
5790 -64.000000 481.638889 
5800 -65.000000 495.625000 
5810 -65.000000 481.847222 
5820 -63.000000 496.152778 
5830 -66.000000 495.958333 
5840 -63.000000 488.972222 
5850 -62.000000 491.138889 
5860 -63.000000 501.930556 
5870 -63.000000 500.263889 
5880 -63.000000 499.194444 
5890 -62.000000 488.611111 
5900 -59.000000 475.000000 
5910 -61.000000 478.750000 
5920 -60.000000 479.902778 
5930 -60.000000 479.125000 
5940 -63.000000 483.138889 
5950 -62.000000 485.583333 
5960 -60.000000 481.166667 
5970 -61.000000 476.250000 
5980 -61.000000 476.541667 
5990 -61.000000 478.222222 
6000 -62.000000 472.902778 
6010 -58.000000 469.569444 
6020 -59.000000 461.750000 
6030 -61.000000 464.625000 
6040 -58.000000 455.375000 
6050 -63.000000 442.402778 
6060 -57.000000 448.388889 
6070 -58.000000 443.125000 
6080 -60.000000 451.930556 
6090 -63.000000 442.791667 
6100 -62.000000 450.138889 
6110 -63.000000 453.916667 
6120 -60.000000 460.013889 
6130 -61.000000 459.472222 
6140 -62.000000 463.708333 
6150 -63.000000 462.916667 
6160 -60.000000 454.652778 
6170 -62.000000 458.402778 
6180 -61.000000 462.694444 
6190 -63.000000 457.388889 
6200 -60.000000 463.069444 
